Order_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Payment_Method,Shipping_Days,Customer_Satisfaction,Total_Price,Final_Price
ORD_00001,2023-04-13,1092,Clothing,Dumbbell,1,50,20,Debit Card,9,4,50,40.0
ORD_00002,2024-03-11,1085,Electronics,Plant Pot,3,100,15,Credit Card,13,4,300,255.0
ORD_00003,2023-12-15,2067,Books,Jeans,1,1500,25,Debit Card,13,4,1500,1125.0
ORD_00004,2023-09-28,1136,Clothing,Phone,2,10,10,Debit Card,2,3,20,18.0
ORD_00005,2023-04-17,1420,Sports,Novel,2,100,5,Debit Card,2,3,200,190.0
ORD_00006,2023-03-13,1073,Sports,Laptop,4,200,20,Debit Card,6,5,800,640.0
ORD_00007,2023-07-08,2179,Books,Phone,3,200,10,Credit Card,7,2,600,540.0
ORD_00008,2023-01-21,2278,Clothing,Laptop,3,1500,25,Debit Card,14,5,4500,3375.0
ORD_00009,2023-04-13,1170,Sports,T-Shirt,3,50,15,PayPal,13,5,150,127.5
ORD_00010,2023-05-02,1169,Clothing,T-Shirt,3,50,25,PayPal,2,4,150,112.5
ORD_00011,2023-08-03,1871,Clothing,Jeans,4,200,25,Debit Card,14,5,800,600.0
ORD_00012,2023-11-27,1321,Sports,Jeans,1,25,5,PayPal,4,4,25,23.75
ORD_00013,2023-03-29,1455,Electronics,Dumbbell,4,200,20,Debit Card,3,3,800,640.0
ORD_00014,2024-01-08,1943,Sports,Headphones,1,1000,10,Credit Card,13,4,1000,900.0
ORD_00015,2023-04-10,1789,Books,Plant Pot,5,10,5,Credit Card,5,5,50,47.5
ORD_00016,2023-12-26,1612,Home & Garden,Headphones,5,1000,15,PayPal,9,5,5000,4250.0
ORD_00017,2023-06-01,2178,Sports,Phone,1,100,20,PayPal,2,4,100,80.0
ORD_00018,2023-05-11,1888,Clothing,Dumbbell,4,200,5,Debit Card,13,3,800,760.0
ORD_00019,2023-05-30,1348,Clothing,Laptop,2,200,15,UPI,5,3,400,340.0
ORD_00020,2023-11-05,2474,Sports,Novel,4,1500,15,Debit Card,8,4,6000,5100.0
ORD_00021,2023-09-15,2196,Home & Garden,Yoga Mat,2,1500,10,Debit Card,6,4,3000,2700.0
ORD_00022,2023-12-10,1009,Sports,Cookbook,4,500,25,Credit Card,4,4,2000,1500.0
ORD_00023,2024-02-18,1739,Home & Garden,T-Shirt,3,100,15,UPI,10,5,300,255.0
ORD_00024,2023-10-21,2288,Home & Garden,Headphones,3,500,15,UPI,8,5,1500,1275.0
ORD_00025,2024-01-21,2461,Books,Plant Pot,5,100,25,Debit Card,3,3,500,375.0
ORD_00026,2023-07-11,2270,Clothing,Novel,5,1000,0,Credit Card,4,4,5000,5000.0
ORD_00027,2024-03-19,1666,Clothing,Novel,1,10,15,PayPal,11,5,10,8.5
ORD_00028,2023-10-04,1545,Home & Garden,T-Shirt,2,100,20,Credit Card,9,4,200,160.0
